id,description,details,image,currency,cost,margin,markup,unitPrice,unitType,trademark,barcode,internalCode
-NsYp43aoUkvP3wtGFUl,ROLDANA DE AÇO 50MM COM ROLAMENTO,,,BRL,"R$ 58,00",25%,"33,33%","R$ 77,33",un.,,,
-NtQirSGgQucM5KVqP3b,VIDEOPORTEIRO WI-FI ALLO W3+,,,BRL,"R$ 600,00",35%,"53,85%","R$ 923,08",,,,
-NtQj120fKOAjC422ARx,"CONVERSOR AUT AC/DC 12,8V 1A - EF 1201L",,,BRL,"R$ 52,96",35%,"53,85%","R$ 81,48",,,,
-NtQjC7fy2t5PJVT-KRw,CAMERA DE VIDEO WI-FI FULL HD iMX C C/ MICRO SD 32G,,,BRL,"R$ 250,00",40%,"66,67%","R$ 416,67",,,,
-NuA_0XYCmZyty-ANN0z,"Campainha Eletrônica com Fio Modular 1 Toque Ding Dong 220V
",,,BRL,"R$ 40,00",35%,"53,85%","R$ 61,54",un.,,,
-NuAa7Et-YyYbmal5Nlt,"Eletroduto Flexível Corrugado PVC DN 20 mm 1/2"" x 7m Amarelo - Amanco",,,BRL,"R$ 2,50",60%,150%,"R$ 6,25",m,,,
-NuAcL3xXg5FT8cSUa8f,Conjunto Pulsador Campainha e Minuteira 1 Módulo 2A - Branco - Sistema X,,,BRL,"R$ 38,00",35%,"53,84%","R$ 58,46",un.,,,
-NuAdx05piNgF4105T1_,"Cabo Pp Flexível 2x2,50 Mm Rolo 100mts - Preto
",,,BRL,"R$ 460,00",35%,"53,85%","R$ 707,69",m,,,
-NuAe_d1sxyBL3KrkBaT,"Fio/Cabo Flexível Antichamas Flexsil 2,50 mm Rolo com 100 m 450/750V
",,,BRL,"R$ 185,00",35%,"53,85%","R$ 284,62",m,,,
-NuAf8FtJ-3hO94C66Ww,Abraçadeira de Nylon Clamp 50 Unidades C2 Branca,,,BRL,"R$ 8,50",60%,150%,"R$ 21,25",,,,
-NuAg3mNYIyfvQTmM2ai,"Fio Cabo Pp Flexível 2 Vias 2,50mm Extensão 1 Metro
",,,BRL,"R$ 7,20",35%,"53,89%","R$ 11,08",m,,,
-NuAhidiA9UyHy2C-XEv,Kit Campainha Cigarra com Fio Conjunto Montado 1 Toque Cigarra 220V Branca Zeffia - Legrand,,,BRL,"R$ 38,00",35%,"53,84%","R$ 58,46",un.,,,
-Nyg5yVu3kV3eXvjMO4b,Porca acionadora passo 30 1/2 3 entradas Garen,,,BRL,"R$ 30,00",50%,100%,"R$ 60,00",un.,,,
-O-4ES-_i99Zwn2Xrowa,Conjunto 2 Roteador Wireless (cpe) 5ghz 16dbi - Wom 5a Mimo,,,BRL,"R$ 900,00",25%,"33,33%","R$ 1.200,00",un.,,,
-O-4EwG2rcfodEaRa4BN,Câmera De Segurança Vlp 1230d Ip67 Full Hd 1080p Intelbras,,,BRL,"R$ 190,00",25%,"33,33%","R$ 253,33",un.,,,
-O0JZTMBESDvgfy-Rnqq,IDFACEPRO/FP/A,,,BRL,"R$ 1.800,00",25%,"33,33%","R$ 2.400,00",un.,,,
-O0JZq5vnV7I0AnTYQ-f,CHAVEIRO DE ACIONAMENTO POR APROX MIFARE,,,BRL,"R$ 5,00",25%,"33,4%","R$ 6,67",un.,,,
-O0J_8MzSRLFeSPShTBu,FONTE ELETRONICA 12V X 5A PRETA,,,BRL,"R$ 98,90",35%,"53,84%","R$ 152,15",un.,,,
-O0ia1WiDrvqPV9GHv9l,MICROCONTROLADOR GRAVADO XMC1402F064X,PPA,,BRL,"R$ 29,90",0%,0%,"R$ 29,90",un.,,,
-O0nNl9gmBRjUCh839pq,Mola Aérea Portão Alumínio ,Preta,,BRL,"R$ 160,00",25%,"33,33%","R$ 213,33",,,,
-O1IlOd4KNUh-4BmVbJT,CAMERA DE TV BULLET VIP 1220 B FULL COLOR G4,Intelbras,,BRL,"R$ 320,50","39,53%","65,37%","R$ 530,00",,,,
-O1InomL8pHJsgubisyu, GRAVADOR DIG.DE VIDEO MHDX 1104-C C/SSD 512GB,Intelbras,,BRL,"R$ 623,00",35%,"53,85%","R$ 958,46",un.,,,
