id,description,details,image,currency,cost,margin,markup,unitPrice,unitType,trademark,barcode,internalCode
-MYfu_OalTOTMOXBjSfC,Bateria12v 7amp,,,BRL,"R$ 110,00",35%,"53,85%","R$ 169,23",UN,,,
-MYfus5rZ0SXBI0Xx2ea,Placa advertência Cerca Elétrica ,,,BRL,"R$ 3,60",25%,,"R$ 4,80",UN,,,
-MYfvENGf2JwGb6onNGJ,Haste BIG Industrial Passagem alumínio 25x25 1M,,,BRL,"R$ 18,00",25%,,"R$ 24,00",UN,,,
-MYfvXe_JbfQAKb1tnGZ,Haste BIG Industrial 12 esticadores alumínio 25x25 1M. ,,,BRL,"R$ 22,00",25%,,"R$ 29,33",UN,,,
-MYfvqLjcQn6FRfjN2bi,Fio de aço inox 0.90mm bobina 100M,,,BRL,"R$ 58,00",25%,,"R$ 77,33",UN,,,
-MYfw7N8TG0mCuZJjX7m,Cabo de Alta Isolação 1mm,,,BRL,"R$ 1,70",25%,,"R$ 2,27",Metro,,,
-MYuDGfn0LSI9pZFI-1V,Conector RJ45 Macho. ,,,BRL,"R$ 3,20",60%,150%,"R$ 8,00",UN,Furukawa ,,
-MbBfRmBFqsfsQqGhXnI,CABO COMUNICAÇÃO 50x8 VIAS 100% COBRE NU,,,BRL,"R$ 13,00",35%,"53,85%","R$ 20,00",Metro,Furukawa ,,
-MbBfc9YeUa0hqw8ytpX,CONECTOR EMENDA GEL,,,BRL,"R$ 3,90",60%,150%,"R$ 9,75",UN,CONNECT,,
-McvHXmMsq2Yw1zgya4z,ACIONADOR FECHADURA ELETRICA ,,,BRL,"R$ 50,00",60%,150%,"R$ 125,00",UN,AGL,,
-MdcadhYf0yJ367exgae,CAMERA DE TV P/ SIST. DE SEG .VHL 1120 BULLET,,,BRL,"R$ 145,00",35%,"53,85%","R$ 223,08",UN,INTELBRAS ,,
-Mdcav76r_O-6w3z4CCN,CÂMERA DE TV P/ SIST. DE SEG .VHL 1120 DOME,,,BRL,"R$ 101,67",30%,,"R$ 145,24",UN,INTELBRAS ,,
-Mdcb5i_09o4oYd425VJ,"CONVERSOR AC/DC 12,8V 3A - EF 1203 (blindada)",,,BRL,"R$ 129,80",35%,"53,84%","R$ 199,69",UN,INTELBRAS ,,
-MdcbEw4MPwzDZsQ24cc,"CONVERSOR AUT AC/DC 12,8V 3A - EFM 1203 (comeia)",,,BRL,"R$ 145,90",35%,"53,85%","R$ 224,46",UN,INTELBRAS ,,
-MdcbShP6XYzHBEdeUll,TRANSFORMADOR BALUN PASSIVO DE VIDEO VB 500 PAR,,,BRL,"R$ 19,81",35%,,"R$ 30,48",PAR,INTELBRAS ,,
-MdcdI2laq2CDyksQoyD,GRAVADOR DIGITAL DE VIDEO MHDX 1104 C/ HD 1TB,,,BRL,"R$ 767,40",30%,,"R$ 1.096,29",UN,INTELBRAS ,,
-Mf7kOd3coAXRjZjalJl,MÓDULO GUARITA MG3000 NICE,,,BRL,"R$ 750,00",38%,,"R$ 1.209,68",UN,NICE,,
-MgMXYKdBveib8JvmuCL,KIT MOTOR DESLIZANTE JET FLEX 1/3 CP 600K ,,,BRL,"R$ 863,00",35%,,"R$ 1.327,69",kIT,PPA,,
-MgeQGnPw0AGDrN3O9FU,TRANSMISSOR ZAP 433MHZ PPA,,,BRL,"R$ 35,00",35%,"53,86%","R$ 53,85",UN,PPA,,
-MgfZ8_UrKlmBK5G3w8Z,MOTOR DESLIZANTE ANALÓGICO ,,,BRL,"R$ 320,00",35%,,"R$ 492,31",UN,PPA,,
-MgfZYhs05TiN00Zwocd,MOTOR DESLIZANTE SUPER RÁPIDO 350,,,BRL,"R$ 530,00",30%,,"R$ 757,14",UN,PPA,,
-MgfZrEbc93hjKx65u3j,HASTE ATERRAMENTO 2 METROS COM CONECTOR,,,BRL,"R$ 45,00",35%,,"R$ 69,23",UN,DIVERSO.,,
-MhVBs6XtdsBXTYnN4mH,SUPORTE FERRO SENSOR BARREIRA/ANTICOLISÃO 60CM.,,,BRL,"R$91,50",25%,,"R$122,00",UN,SEGTECH,,
-MhVCmg54RUQyxQ8oHUC,SENSOR FOTOCÉLULA ANTIESMAGAMENTO F10,,,BRL,"R$186,00",25%,,"R$248,00",UN,PPA,,
-MhVDOd9vO22N1IYzO3A,RECEPTOR XAR 3060 SISTEMA INTERTRAVAMENTO ,,,BRL,"R$129,00",25%,,"R$172,00",UN,INTELBRAS,,
-MhVEgfST-tgR6_XVz9T,SENSOR RELÉ FIM DE CURSO,,,BRL,"R$18,00",25%,,"R$24,00",PAR,UNIVERSAL,,
-MhVF8TShF-H_onACVgc,CABO 6X50MM COBRE NU,,,BRL,"R$ 3,90",60%,150%,"R$ 9,75",METRO,CONDUTTI,,
-MhVGGaElb_MOZcgTcV6,"MANGUEIRA CRISTAL 1/2 1,8MM",,,BRL,"R$4,80",25%,,"R$6,40",METRO,SPAZIO,,
-MhVIlxyyMTI7veGU4P2,CANALETA SISTEMA X 20X10X2000MM,,,BRL,"R$ 14,00",35%,"53,86%","R$ 21,54",UN,PIAL LEGRAND,,
-MhnqpCizlw6P12GET6F,PROTETOR DE REDE COM FILTRO,,,BRL,"R$ 120,00",35%,,"R$ 184,62",UN,PPA,,
-MhnrDZI46KaK5l0ik1H,AUTOMATIZADOR DZ RIO 1/4 ANALOGICO PPA,,,BRL,"R$ 350,00",35%,"53,85%","R$ 538,46",UN,PPA,,
-Mj6xMxEa-L_Iq7yiMii,BLOCO BARGOA 10,,,BRL,"R$17,00",30%,,"R$24,29",UN,,,
-Mj6xWgBdMg_tuZY7-Qi,SUPORTE BLOCO BARGOA,,,BRL,"R$12,00",30%,,"R$17,14",UN,,,
-Mj6yFENNw8OjShDAgAV,Caixa Hermética Multiuso 15 x 20 x 8 cm - ,,,BRL,"R$ 36,00",35%,"53,83%","R$ 55,38",UN,,,
-MjzeLyMoOQNk2aoYVdl,CABO COAXIAL CRISTAL 90% COBRE NU PC 100M,,,BRL,"R$ 250,00",35%,"53,85%","R$ 384,62",PC,CONDUTTI ,,
-Mjzebl_JIoaE7yt-7kI,FITA ADESIVA SILVER 3M,,,BRL,"R$ 45,00",35%,,"R$ 69,23",UN,3M,,
-MlKJNbZCIEgQPNBigzR,PORTEIRO ELETRÔNICO ALIMENTAÇÃO INTERNA,,,BRL,"R$ 180,00",30%,,"R$ 257,14",UN,INTELBRAS ,,
-MlL6oAf-hOb0DJoLBHr,CORREIA DE TRAÇÃO MOTOR PECCININ SUPER FLASH ,,,BRL,"R$ 22,00",35%,,"R$ 33,85",UN,PECCININ,,
-MltZH8HZfJQeW6L9adP,Microfone direcional ,,,BRL,"R$ 48,00",35%,,"R$ 73,85",UN,Intelbras ,,
-MnQshZ2za9MC6n63hoV,PATCHCORD CAT5 COM CONECTOR 10M SOHO 100% COBRE NU.,,,BRL,"R$ 3,20","-6,67%",,"R$ 3,00",METRO,FURUKAWA,,
-MnSzXBl1zoRy8zV2BC_,"CREMALHEIRA ALUMÍNIO BRANCO 1,5 MERTRO",,,BRL,"R$ 58,00","38,95%","63,79%","R$ 95,00",UN,GILTECH,,
-MooKRQntKlo9OL53LGO,Botoeira NA/NF 1 botão ,,,BRL,"R$ 17,00",45%,,"R$ 30,91",UN,GETECH,,
-MooKrnA66QgzxtGbegB,CONVERSOR AUTOMÁTICO 12V/2AMP,EF 1202,,BRL,"R$ 72,90",35%,"53,84%","R$ 112,15",UN,FG,,
-Mp7iWmfvOH3UtzjVXOD,Sensor Ativo Barreira 15m,,,BRL,"R$ 130,00",46%,,"R$ 240,74",Pç,JFL,,
-MplCmcWErZ5G46dMAS3,Abracadeira de NYLON 20cmx100un,Pacote com 100 unidades,,BRL,,,,"R$ 32,50",un.,,,
-MplDeglpMP1plurmrqb,Tomada Telefone RJ11 Femea,LEGRAND,,BRL,,,,"R$ 8,60",un.,,,
-MplEUCEJmJ0pWQnnl55,Placa 32 Ramais Desbalanceados P/ Cp 192 E Cp 352 Intelbras,Central Interfone Intelbras ,,BRL,"R$ 411,90",35%,"53,85%","R$ 633,69",un.,,,
-MuBGXrD5_XceyYbozzq,Kit Motor Deslizante Condominium Ppa 1/2hp 6 Mt Crema 2 Zap,CICLOS ABERTURA FECHAMENTO 80 CPH.,,BRL,,,,"R$ 2.300,00",un.,,,
-MuBH9cqLu40EDdZ6bcV,Kit Motor Portão Deslizante Ppa Dz 800 Condominium Jetflex.,80 Ciclos abertura fechamento hora. ,,BRL,,,,"R$ 1.980,00",un.,,,
-MuBgOZzUR_0MXJ0HSp2,Motor dz ind.1500 jet flex facility,Auto fluxo. ,,BRL,,,,"R$ 3.180,00",,,,
-MuBgj9u64gJC8ZwI2zo,Motor dz ind.1500 jet flex facility,,,BRL,,,,"R$ 3.180,00",un.,,,
-MwbKtTw1dukQDQ7fQgf,Extensor Hdmi 60metros 3d Cat5/cat6 Via Cabo Rede Rj45 1080p,Com Fonte Alimentação.,,BRL,,,,"R$ 256,00",un.,,,
-MxFQpSzSkVWzK4XRjr8,"CREMALHEIRA COM CANTONEIRA EM FERRO 1,47M (LINHA LEVE )",,,BRL,"R$ 25,00","67,95%",212%,"R$ 78,00",un.,GILTAR,,
-MxFRoVOSCLJlFi-oeBN, DZ RIO 500 JET FLEX FACILITY HIBRIDA BIVOLT 60HZ(,Com 2 Controles Remotos ,,BRL,"R$ 680,00",50%,100%,"R$ 1.360,00",,PPA,,
-MxF_3yN55_BwWXhR23c,MODULO PRF 220V COM FILTRO,,,BRL,"R$ 140,00",50%,100%,"R$ 280,00",,PPA,,
-N-2XwD9dt1slwnwBwV1,OPCIONAL 8 FUNÇÕES IC (COM CAIXA) GAREN,,,BRL,"R$ 46,00","53,35%","114,35%","R$ 98,60",un.,GAREN,,
-N-2Y98P7Yv3dsQ_vVRq,SINALEIRA SOLCON PRETA,220v,,BRL,"R$ 151,60","40,94%","69,33%","R$ 256,70",un.,SOLCON,,
-N-2Z6ZWSD788541w7rW,SINALEIRA AUDIO VISUAL BIVOLT AUTOMÁTICA IPEC,,,BRL,"R$ 110,07","48,03%","92,42%","R$ 211,80",un.,,,
-N-2_4FPyWWyh_HnH08-,FIO PARALELO 2X2.5 SIL,100% COBRE NU,,BRL,"R$ 3,50","46,15%","85,71%","R$ 6,50",m,,,
-N-T_-Ek-7UxbMoAbwjf,CENTRAL DE PORTARIA 192 BASICA - CP192 (SEM RAMAIS/SERV) C/EMB,INTELBRAS,,BRL,"R$ 2.100,00",35%,"53,85%","R$ 3.230,77",un.,,,
-N-T_Ll5yQyuEfw0CiKQ,PLACA 16 RAMAIS DESBALANCEADOS CP48/CP112 (C/EMB),INTELBRAS,,BRL,"R$ 427,29",42%,"72,41%","R$ 736,71",,,,
-N-TcgXdGI6-y7UwiIo1,CENTRAL DE PORTARIA 192 BASICA - CP192 (SEM RAMAIS/SERV) C/EMB,INTELBRAS,,BRL,"R$ 1.858,00",35%,"53,85%","R$ 2.858,46",,,,
-N016jlbq9MjXuOc__F3,Mouse com fio MULTILASER,,,BRL,"R$ 17,00","55,26%","123,53%","R$ 38,00",un.,,,
-N0174d4KKjlVN4a9eny,CABO EXTENSOR USB 5 METROS,,,BRL,"R$ 89,00",35%,"53,84%","R$ 136,92",un.,,,
-N4coIkY8-GWJGF5dFTV,BASE DZ AEREA REG ZINC,,,BRL,"R$ 159,90",35%,"53,85%","R$ 246,00",,,,
-N4gP_P9f4vNECSpNiW0,CENTRAL DE COMANDO TRIFLEX FACILITY BIV,PPA,,BRL,,,,"R$ 759,00",un.,,,
-N4gQYwc7k5Mb3ofJ_pN,MODULO LUZ DE GARAGEM/SINALEIRA,,,BRL,,,,"R$ 65,00",,,,
-N69tXUmmB9tI272Op-9,CENTRAL COMUNIC 48 INTELBRAS,Sem Placa de Ramal,,BRL,"R$ 830,00",35%,"53,85%","R$ 1.276,92",,,,
-N69tqPgzXaibyuPX-A6,PLACA DE RAMAL 16 RAMAIS DESBALANCEADA,Intelbras ,,BRL,"R$ 150,00",35%,"53,85%","R$ 230,77",,,,
-N69vO49m0J22vQ9ZCh5,Modulo Isolador 430va Energy Lux,Não precisa aterramento,,BRL,"R$ 385,00",25%,"33,33%","R$ 513,33",,,,
-N6AB0uTMOs5M85n65mK,"
Prateleira com Suporte 40x20 cm MDP",Prat-K,,BRL,"R$ 45,00",60%,150%,"R$ 112,50",,,,
-N6hXt0yuMMM3j8LaZ6c,"Câmera Infravermelho Multi Hd Vhd 1220 D G6 Black 1080p 2,8m",Intelbras ,,BRL,"R$ 160,00",35%,"53,84%","R$ 246,15",,,,
-N7288lHfo-kG7amx_rV,BOBINA DUPLA PARA FECHADURA ELÉTRICA INTELBRAS ,,,BRL,,,,"R$ 95,00",un.,,,
-N9YKmzcUea5vP1sZeD9,Gravador Dig. de Video MHDX 1204 MANAUS,Full HD ,,BRL,"R$ 438,00",35%,"53,85%","R$ 673,85",,,,
-N9YL5ZmeUQ3ghnGRt1I,"DISCO RIGIDO SATA2 3,5"" 7200RPM 64MB 1000GB CFTV Western Dig",,,BRL,"R$ 372,00",35%,"53,85%","R$ 572,31",,,,
-N9YLJvjYSifFTrHrFI3,"CONVERSOR AUT AC/DC 12,8 V 5A - EF 1205",,,BRL,"R$ 149,75",35%,"53,84%","R$ 230,38",un.,,,
-N9YLik-ZIXvkncCA0Vq,CABO TRANCADO 4MMCEL (F) 75OHM MASTER NU CFTV BC CX0100M 2X26AWG,,,BRL,"R$ 89,00",35%,"53,84%","R$ 136,92",,,,
-N9YM3phV1Xeo3f7vns8,CONEX 1000 BNC MOLA - 10 UNIDADES,,,BRL,"R$ 30,00","69,39%","226,67%","R$ 98,00",,,,
-N9YMe_Y7oO06Nr6t-yC,CONECTOR P4 FEMEA BORNE,,,BRL,"R$ 6,00","38,78%","63,33%","R$ 9,80",,,,
-N9YMspV_ONcYmh5xGRL,CÂMERA DE TV P/ SIST. DE SEG. VHL 1120 BULLET,,,BRL,"R$ 112,00",35%,"53,85%","R$ 172,31",,,,
-N9YNZ396Gyu8RgDFgSf,Gravador Dig. de Video MHDX 3008 MANAUS,,,BRL,"R$ 750,00",35%,"53,85%","R$ 1.153,85",un.,,,
-NALWG9zjfICvYajcd2c,Central Dupla Rampa - Garen - 62pos - A00078,,,BRL,"R$ 210,00",50%,100%,"R$ 420,00",,,,
-NALWkuufPmV0pVX500R,Botoeira Fechadura Elétrica E Fecho Elétrico Com Fonte 12v,,,BRL,"R$ 90,00",50%,100%,"R$ 180,00",,,,
-NALXWYGMXNmwY8XGioa,Fonte Chaveada 12v 10a Para Camera De Segurança Intelbras ,,,BRL,"R$ 90,00",60%,150%,"R$ 225,00",,,,
-NAiDrcWntxDR6HLxy2U,Receptor Universal Xar 3060,Intelbras ,,BRL,"R$ 106,00",50%,100%,"R$ 212,00",,,,
-NDm_9ZppoIu6aLDAjBK,TERMINAL DEDICADO TDMI300,,,BRL,"R$ 46,00","38,67%","63,04%","R$ 75,00",,,,
-NDm_hYkx74jpioMu1Xc,CONTROLE REMOTO DIG RF 3TB AZ-10,,,BRL,"R$ 32,00","62,35%","165,63%","R$ 85,00",,,,
-NDm_w1nfNKc9BRxDhlM,CONT. REMOTO DIG. RF ROLL. CODE TX4R 4.0 PR V2,,,BRL,"R$ 35,00",60%,150%,"R$ 87,50",,,,
-NDma84XW8ifMWEhU6Mv,CENTRAL DUPLA RAMP 62POS GAREN,,,BRL,"R$ 242,00","42,38%","73,55%","R$ 420,00",,,,
-NDmahZE0tQs2WKsY_OC,VENTOINHA DO MOTOR (REV.08),,,BRL,"R$ 6,00",60%,150%,"R$ 15,00",,,,
-NDmb-ZQTUuSi1E4QvTL,FECHADURA DE ACO 1/2” ROSCA C/ PORCA,SEXTAVADA E 02 CHAVES,,BRL,"R$ 33,00","63,29%","172,42%","R$ 89,90",,,,
-NDmb9I0LgqzyStcBf6q,LINGUETA FECHADURA DESTRAVAMENTO,,,BRL,"R$ 3,00",75%,300%,"R$ 12,00",,,,
-NDmbRPv1yKg0-RhWhci,DZ 1300 IND JET FLEX FACILITY SP HIBRIDA,S/ CREMALHEIRA,,BRL,"R$ 1.600,00","38,44%","62,44%","R$ 2.599,00",,,,
-NDmbbu2o0BVHjhIEI0n,FOTOCELULA F30,,,BRL,"R$ 76,00","59,14%","144,74%","R$ 186,00",,,,
-NDmboqOds03EVRTsfqS,TELEFONE GONDOLA TC20 CZ ARTICO,,,BRL,"R$ 43,00","42,67%","74,42%","R$ 75,00",,,,
-NDmc3sJF6zrvvNf8cNI,CAIXA PLASTICA DE PASSAGEM VBOX 1100,,,BRL,"R$ 16,00",35%,"53,88%","R$ 24,62",un.,,,
-NDmcG6k6vpbMqn-FA5R,CAIXA ORGANIZADORA MEDIA STILUS BRANCA,,,BRL,"R$ 38,00",35%,"53,84%","R$ 58,46",un.,,,
-NDmcc2tgr1GYIZB3nFm,"CABO PAR TRANCADO 0,51MM BRANCO 300M (4P COBREADO REDE)",,,BRL,"R$ 580,00",35%,"53,85%","R$ 892,31",un.,,,
-NDmdUOOO3aZrxYMLkIe,TRANSFORMADOR BALUN PASSIVO DE VIDEO VB500 P G2 (01 PAR),,,BRL,"R$ 21,50","53,26%","113,95%","R$ 46,00",,,,
-NDmp5X9p5RrXav8t_4n,Dvr Hikvision 32 Canais 5x1 1080p Fullhd Ds-7232hqhi-k2,,,BRL,"R$ 2.600,00",45%,"81,82%","R$ 4.727,27",un.,,,
-NDmtF0oMi6IkEGJ3qam,Módulo 8 Funções Trava Sinaleiro Seg Garen 8f - 2 Canais,GAREN ,,BRL,"R$ 75,00",55%,"122,23%","R$ 166,67",un.,,,
-NEplqhgM0M6v2Nz-5fe,GRAVADOR DIGITAL IMHDX 3132,Com HD 4TB Intelbras ,,BRL,"R$ 3.800,00",35%,"53,85%","R$ 5.846,15",un.,,,
-NGbqL9pQ75j_9AUIHPa,CENTRAL ELETR CP4000 V4 (V.A.) (PECCININ),,,BRL,"R$ 246,00",45%,"81,82%","R$ 447,27",un.,PECCININ,,
-NGbqbkE4dLnoZVVZXjP,CONJUNTO FIM DE CURSO DZ PE 3 VIAS,,,BRL,"R$ 14,00","74,55%","292,86%","R$ 55,00",un.,,,
-NGbqqoCKwNGtuUo7Yr-,CAPACITOR DE 20UF/250VAC,,,BRL,"R$ 18,00",60%,150%,"R$ 45,00",un.,,,
-NHBJc1l47KSZ58IBRgh,HASTE ALUMINIO QUAD. LISA 25X25 C/6 ISOL,,,BRL,"R$ 22,00",50%,100%,"R$ 44,00",un.,,,
-NHBK-YJocDJoylSQKHh,"HASTE ALUM QUADRADA 25X25 1,00M C/ 12 ISOL -
CONFISEG",,,BRL,"R$ 24,60",50%,100%,"R$ 49,20",un.,,,
-NHBKTw7lDqoMqonGmXm,"BOBINA FIO DE ACO INOX 0,90MM 1,000KG 180MTS ",,,BRL,"R$ 70,00",35%,"53,84%","R$ 107,69",un.,,,
-NHBKncXCLRTHifU3zKr,PLACA ADVERTENCIA P/ CERCA ELETRICA,,,BRL,"R$ 2,70","65,82%","192,59%","R$ 7,90",un.,,,
-NHBL3qorC141n5NL4U3,PLACA ADVERTENCIA P/ CERCA CONCERTINA,,,BRL,"R$ 3,80",50%,100%,"R$ 7,60",un.,,,
-NHBLvuNPsPjXaA6R_Du,"CONCERTINA KIT DE CHUMBAR COMPLETO 10M X
 315MM EM ACO VANSEG",,,BRL,"R$ 190,00",60%,150%,"R$ 475,00",un.,,,
-NHZclT6WQLSp4ghRk9k,Camra de tv p/ sist. seg. vhd 1220 bullet full color,,,BRL,"R$ 160,00",35%,"53,84%","R$ 246,15",un.,,,
-NHlcNEsHNb7ZpnyP5G5,MODULADOR AGIL VHF/UHF/CATV/CFTV G2 (PRO),,,BRL,"R$ 230,00",35%,"53,85%","R$ 353,85",un.,,,
-NHlcZuENbHnC9xcHHmL,CONTROLE REMOTO DIG RF 3TB NICE AZ-10 (HCS),,,BRL,"R$ 40,00","52,94%","112,5%","R$ 85,00",un.,,,
-NIsAAShfUxgbaCtMuzq,Cabo De Rede Cat6 10 Metros Ethernet Lan Giga 10/1000 ,Blindado 100% cobre.,,BRL,"R$ 98,00",35%,"53,85%","R$ 150,77",m,,,
-NIsB6EhlfXyDswgKRjO,Switch Intelbras SG 800 Q+,,,BRL,"R$ 199,00",25%,"33,33%","R$ 265,33",,,,
-NJ5OFjmN2c4gSX76q6d,TERNINAL DEDICADO PORTEIRO XPE1001 PLUS INTELBRAS,,,BRL,"R$ 379,90",35%,"53,85%","R$ 584,46",un.,,,
-NJA8sKNFydM0X1EDl-P,Fechadura Eletroimã Intelbras Fe 20150 Prata Sem Sensor,,,BRL,,,,"R$ 402,86",,,,
-NJLv5ftIl3N_WPApBYh,TELEFONE SEM FIO TS 2510,,,BRL,"R$ 126,25",35%,"53,85%","R$ 194,23",,,,
-NJzFjYu2V3LYj_HlJnU,REED DZ COM CONECTOR,,,BRL,"R$ 23,45",50%,100%,"R$ 46,90",un.,,,
-NJzG3J1Zb8adkqpjsvo,SUPORTE DO IMÃ DZ COMPLETO,,,BRL,"R$ 8,50",50%,100%,"R$ 17,00",un.,,,
-NKOMamucYBq7R4Mr8Ni,MOTOR KDZ SPEED 1/3 500kg 30 CICLOS.,GAREN,,BRL,"R$ 554,34",25%,"33,33%","R$ 739,12",un.,,,
-NLLGycKIHORVrxwBuKW,Kit engrenagem interna,EURO JET FLEX PPA,,BRL,,,,"R$ 560,00",un.,,,
-NLLHEI74VtGv9TOmo5c,Engrenagem Externa Z16,PPA,,BRL,,,,"R$ 62,47",un.,,,
-NLLHlCCSCdI220SoiSw,Kit Rolamento com Bucha do Eixo do Motor,PPA,,BRL,,,,"R$ 49,99",un.,,,
-NLLI4Moho8lsPFNP-_K,Base do Motor EURO PPA,,,BRL,,,,"R$ 79,60",un.,,,
-NRIFQmy2qnCJ9AUucwt,TERMINAL DEDICADO PORTEIRO XPE 1013 PLUS,INTELBRAS,,BRL,"R$ 410,00",35%,"53,85%","R$ 630,77",un.,,,
-NRIFioNxqSGdNwvufgv,CONTROLADOR DE ACESSO DIGIPROX SA202,INTELBRAS,,BRL,"R$ 210,00",35%,"53,85%","R$ 323,08",un.,,,
-NRIGDf5IUU3vov-oOnX,FONTE DE ALIMENTAÇÃO FA 1220S,INTELBRAS,,BRL,"R$ 154,00",25%,"33,33%","R$ 205,33",,,,
-NRIH-vZNcdCyepRaFoX,NOBREAK XNV 600VA - 220V,INTELBRAS,,BRL,"R$ 349,50",25%,"33,33%","R$ 466,00",un.,,,
-NRbgvvsgd1P96mlHcTz,Kit Dispositivo indicador Puxe / Empurre.,PPA,,BRL,"R$ 99,00",35%,"53,85%","R$ 152,31",un.,,,
-NRsQZE1HHS75wm-OhYq,Tp 2000 Terminal De Portaria Intelbras Com Viva-voz,,,BRL,"R$ 190,00",25%,"33,33%","R$ 253,33",un.,,,
-NSrAnDExqBjsaggthri,Monofone Interfone Terminal Dedicado Comunicacao Td-1000 Jfl,,,BRL,"R$ 65,00",34%,"51,51%","R$ 98,48",un.,,,
-NTUrPHVJYjpMJv33jaK,REPOSIÇÃO CARENAGEM MOTOR DESL SUPER PECCININ ,,,BRL,"R$ 79,00",50%,100%,"R$ 158,00",un.,,,
-NUwGULmxSyvfg0fnAW_,HD 4TB WD40PURZ - WESTERN DIGITAL PURPLE,,,BRL,"R$ 900,00",35%,"53,85%","R$ 1.384,62",un.,,,
-NWljADGg8vzzvZJpUkf,"Receptor de Controle XRE 1000 PLUS Receptor de Controle XRE 1000 PLUS
",,,BRL,"R$ 314,00",35%,"53,85%","R$ 483,08",un.,,,
-NWljY75I6Z9prk4OGSq,SENSOR ATIVO IVA 5080 AT,,,BRL,"R$ 230,00",35%,"53,85%","R$ 353,85",un.,,,
